created_at,sale_price
1/5/2019,79.94999695
1/8/2019,18
1/10/2019,46.61999893
1/12/2019,22
1/13/2019,91.64999962
1/20/2019,47.47999954
1/21/2019,50
1/22/2019,74.98999786
1/26/2019,283.9800014
1/28/2019,133.9899979
1/29/2019,21
1/30/2019,69.94999695
2/2/2019,98.08000183
2/4/2019,38.95000076
2/9/2019,154.9899979
2/11/2019,154.4900055
2/12/2019,33
2/13/2019,35.97999954
2/14/2019,19.96999931
2/15/2019,39.5
2/16/2019,100.9900017
2/18/2019,75.98999977
2/20/2019,28
2/21/2019,148
2/23/2019,67.2300005
2/26/2019,62.95000076
2/27/2019,217.9899998
2/28/2019,308.0000057
3/1/2019,82.0399971
3/2/2019,14.43000031
3/3/2019,253
3/4/2019,109.8099976
3/6/2019,11.5
3/7/2019,151.5799971
3/8/2019,149
3/9/2019,101.4499989
3/10/2019,36.99000168
3/11/2019,203.9499998
3/12/2019,13.05000019
3/13/2019,76.99000168
3/14/2019,258.9399967
3/15/2019,459.4500122
3/16/2019,125.9300022
3/17/2019,85.48999977
3/18/2019,269.5
3/19/2019,103.6199999
3/20/2019,83.22000122
3/21/2019,34
3/23/2019,47.94000149
3/24/2019,119.4899998
3/25/2019,132.9800014
3/26/2019,577.9199982
3/27/2019,79.90999985
3/28/2019,339.4800072
3/29/2019,44.99000168
3/30/2019,315.9900036
3/31/2019,77.41000175
4/1/2019,39.99000168
4/2/2019,139.9900055
4/3/2019,183.0900002
4/4/2019,330.9900017
4/5/2019,305.7399998
4/6/2019,350.5799999
4/7/2019,89
4/8/2019,339.3900032
4/9/2019,47.39999962
4/11/2019,212.8899994
4/12/2019,69.98999786
4/13/2019,108.8800011
4/14/2019,413.8600016
4/15/2019,225.9499989
4/16/2019,245.4500008
4/17/2019,377.2400017
4/18/2019,168.9599991
4/19/2019,420.3500061
4/20/2019,306.0099983
4/21/2019,76.97999954
4/22/2019,330.4300041
4/23/2019,304
4/24/2019,173.6099997
4/25/2019,286.2199993
4/26/2019,273.25
4/27/2019,164.9699993
4/28/2019,377.9799976
4/29/2019,326.1499977
4/30/2019,231.4599991
5/1/2019,179.4399986
5/2/2019,152.9500027
5/3/2019,351.4700012
5/4/2019,275.8999977
5/5/2019,471.1099968
5/6/2019,291.1200008
5/7/2019,148.9400024
5/8/2019,206.3800068
5/9/2019,549.5899925
5/10/2019,801.3799968
5/11/2019,157.3900032
5/12/2019,27.29999924
5/13/2019,263.3400021
5/14/2019,37.94000053
5/15/2019,433.6900005
5/16/2019,980.3299866
5/17/2019,456.260004
5/18/2019,1069.359996
5/19/2019,506.7000084
5/20/2019,447.3500023
5/21/2019,104.0100002
5/22/2019,218.9900017
5/23/2019,419.2299948
5/24/2019,280.8499985
5/25/2019,520.1999922
5/26/2019,331.7600021
5/27/2019,346
5/28/2019,262.8499985
5/29/2019,156.9099998
5/30/2019,296.4700012
5/31/2019,307.3399963
6/1/2019,459.3599911
6/2/2019,398.0699978
6/3/2019,407.4899979
6/4/2019,169.1900024
6/5/2019,27
6/6/2019,447.6600046
6/7/2019,347.8999996
6/8/2019,130.6699982
6/9/2019,87.88999939
6/10/2019,57
6/11/2019,205.4400005
6/12/2019,133.5
6/13/2019,139.9799995
